name,value
acura,21
jaguar,32
honda,4
kia,13
chevrolet,1
bmw,9
toyota,2
nissan,3
volkswagen,12
ford,0
gmc,7
subaru,11
lexus,18
volvo,25
ram,6
jeep,5
mercedes-benz,14
cadillac,16
infiniti,22
dodge,8
pontiac,24
audi,20
chrysler,15
hyundai,10
buick,17
mazda,19
mini,26
mercury,30
fiat,31
saturn,29
mitsubishi,27
lincoln,23
rover,28
tesla,33
